Codigo do Item,Descrição do Item,Marca,País de Origem,Produtor,Tipo de Vinho,Safra,Preço,Desconto Máximo,Tipo de Garrafa,Estoque Atual,GTIN Un.,GTIN Cod. Barra,DUN Un.,DUN Cod. Barra,Região de Origem,Tipo de Uva,Percentual IPI,UPDATED_AT,Valor em Real,Valor com desconto,col_22
37536,LES HERITIERS DU COMTE LAFON-MACON VILLAGES AOC CHARDONNAY CLOS DE LA CROCHETTE 2021 (BCO)(LES HERITIERS DU COMTE LAFON),Mistral,França,LES HÉRITIERS DU COMTE LAFON,Branco,2021,97.5,25,750ml,23,GF,0097985145307,CAIXA C/12,10097985145304,Bourgogne,chardonnay,6.5,2026/01/16 08:00:02.963000000,524.9985,499.99850000000004,
38252,LE PETIT CLOS 2020 (TTO) (LAPOSTOLLE),Mistral,Chile,LAPOSTOLLE,Tinto,2020,129.9,35,750ml,31,GF,7804387000485,CAIXA C/6,17804387000482,Valle de Colchagua,"Carménère (40%), Cabernet Sauvignon (38%), Merlot (19%) e Petit Verdot (3%)",6.5,2026/01/16 08:00:02.963000000,699.4595400000001,664.4595400000001,
37538,LES HERITIERS DU COMTE LAFON MACON VILLAGES AOC CLOS DU FOUR 2021 (BCO) (LES HERITIERS DU COMTE LAFON),Mistral,França,LES HÉRITIERS DU COMTE LAFON,Branco,2021,107.5,25,750ml,11,GF,0097985159175,CAIXA C/12,10097985159172,Bourgogne,chardonnay,6.5,2026/01/16 08:00:02.963000000,578.8444999999999,553.8444999999999,
37539,LES HERITIERS DU COMTE LAFON MACON VILLAGES AOC MILLY LAMARTINE 2021 (BCO) (LES HERITIERS DU COMTE LAFON),Mistral,França,LES HÉRITIERS DU COMTE LAFON,Branco,2021,84.9,25,750ml,17,GF,0097985160096,CAIXA C/12,10097985160090,Bourgogne,chardonnay,6.5,2026/01/16 08:00:02.963000000,457.15254000000004,432.15254000000004,
37540,LES HERITIERS DU COMTE LAFON - MACON VILLAGES AOC UCHIZY LES MARANCHES 2021 (BCO) (LES HERITIERS DU COMTE LAFON),Mistral,França,LES HÉRITIERS DU COMTE LAFON,Branco,2021,97.5,25,750ml,11,GF,0097985151162,CAIXA C/12,10097985151169,Bourgogne,chardonnay,6.5,2026/01/16 08:00:02.963000000,524.9985,499.99850000000004,
2235,MANZANILLA LA GITANA (JER) (HIDALGO),Mistral,Espanha,HIDALGO,Jerez,Não se aplica,49.9,35,750ml,73,GF,8411705100117,CAIXA C/6,68411705100119,Andaluzia,Palomino Fino (100%),13,2026/01/16 08:00:02.963000000,268.69154,233.69153999999997,
37548,DOMAINE DE VILLAINE BOUZERON AOC ALIGOTE 2021 (BCO) (DOMAINE AUBERT E PAMELA DE VILLAINE),Mistral,França,D. AUBERT & PAMÉLA DE VILLAINE,Branco,2021,139.9,25,750ml,118,GF,0097985151070,CAIXA C/6,20097985151074,Bourgogne,Aligote Dore,6.5,2026/01/16 08:00:02.963000000,753.30554,728.30554,
37549,DOMAINE DE VILLAINE RULLY PREMIER CRU AOC MARGOTES 2017 (BCO) (DOMAINE AUBERT E PAMELA DE VILLAINE),Mistral,França,D. AUBERT & PAMÉLA DE VILLAINE,Branco,2017,199.9,25,750ml,20,GF,0097985159212,CAIXA C/6,20097985159216,Bourgogne,Chardonnay (100%),6.5,2026/01/16 08:00:02.963000000,1076.38154,1051.38154,
37550,DOMAINE DE VILLAINE RULLY PREMIER CRU AOC MARGOTES 2020 (BCO) (DOMAINE AUBERT E PAMELA DE VILLAINE),Mistral,França,D. AUBERT & PAMÉLA DE VILLAINE,Branco,2020,239.9,25,750ml,52,GF,0097985159212,CAIXA C/6,20097985159216,Bourgogne,Chardonnay,6.5,2026/01/16 08:00:02.963000000,1291.76554,1266.76554,
37551,DOMAINE DE VILLAINE RULLY 1ER CRU AOC GRESIGNY 2020 (BCO) (DOMAINE AUBERT E PAMELA DE VILLAINE),Mistral,França,D. AUBERT & PAMÉLA DE VILLAINE,Branco Seco,2020,239.9,25,750ml,17,GF,0097985100856,CAIXA C/6,20097985100850,Bourgogne,100% Chardonnay,6.5,2026/01/16 08:00:02.963000000,1291.76554,1266.76554,
